object,field,RA,DEC,radius_aper(pixel),uJava,F378,F395,F410,F430,gSDSS,F515,rSDSS,F660,iSDSS,F861,zSDSS,e_uJava,e_F378,e_F395,e_F410,e_F430,e_gSDSS,e_F515,e_rSDSS,e_F660,e_iSDSS,e_F861,e_zSDSS
NGC294,MC0115,13.275,-73.38028,95.0,12.92439175056522,12.431965105194589,12.225920599245606,11.92777483425312,11.895899045054708,11.70590249709206,11.62992779644209,11.423223471758625,11.390997325968229,11.302312226051445,11.254946577266164,11.21428036776689,0.1292439175056522,0.1243196510519459,0.12225920599245607,0.1192777483425312,0.11895899045054709,0.1170590249709206,0.1162992779644209,0.11423223471758626,0.11390997325968229,0.11302312226051445,0.11254946577266164,0.11214280367766889
NGC361,MC0072,15.545833,-71.605835,145.0,13.325230976953003,12.979163532276875,12.9636455034156,12.358008331555764,12.243484818960052,11.819866773737527,11.639704670731657,11.17968106583099,11.111047076339652,10.908317711606301,10.816347803207368,10.771278310500325,0.13325230976953004,0.12979163532276874,0.129636455034156,0.12358008331555764,0.12243484818960053,0.11819866773737527,0.11639704670731657,0.11179681065830992,0.11111047076339653,0.10908317711606301,0.10816347803207368,0.10771278310500325
OGLE-CL SMC  320,MC0093,7.760833,-72.34055,29.999999999999996,16.638791295256766,16.30518257153165,16.33127856448023,15.729328122354964,15.608785118410966,15.215538775336036,15.036050745403372,14.570287263486126,14.428373500212944,14.141476406671243,13.969740268117109,13.894201085570236,0.16638791295256766,0.16305182571531648,0.16331278564480228,0.15729328122354966,0.15608785118410967,0.15215538775336035,0.15036050745403373,0.14570287263486126,0.14428373500212943,0.14141476406671244,0.1396974026811711,0.13894201085570237
Cl Kron 28,MC0094,12.92375,-71.99834,95.0,11.597620287324041,11.140938211835945,10.757642088062253,10.475733518545992,10.481821997311737,10.706631709647295,10.433146175629838,10.595266395994228,10.556763361826057,10.520159217860002,10.328332193215076,10.391881208918823,0.11597620287324041,0.11140938211835945,0.10757642088062254,0.10475733518545992,0.10481821997311737,0.10706631709647296,0.10433146175629839,0.10595266395994228,0.10556763361826058,0.10520159217860002,0.10328332193215076,0.10391881208918824
OGLE-CL SMC  317,MC0113,6.22625,-73.030556,50.0,17.580703343326558,17.032907950086084,17.041082694667978,16.605697199182323,16.421052002442472,15.884443164291945,15.785080486789395,15.26503051838628,15.198297263077347,15.01964714550067,14.997125117705266,14.985627759082616,0.1758070334332656,0.17032907950086085,0.17041082694667978,0.16605697199182323,0.16421052002442474,0.15884443164291945,0.15785080486789396,0.1526503051838628,0.15198297263077348,0.1501964714550067,0.14997125117705268,0.14985627759082618
OGLE-CL SMC  311,MC0070,6.702083,-71.53472,210.0,12.547456084864363,12.152834931837802,12.066994414017527,11.564912668317437,11.412057077404986,11.0330121395416,10.803479430423526,10.289566462573113,10.197071716420968,10.02156102929414,9.877077492622107,9.838080293597868,0.12547456084864364,0.12152834931837803,0.12066994414017528,0.11564912668317437,0.11412057077404987,0.11033012139541601,0.10803479430423525,0.10289566462573113,0.10197071716420969,0.1002156102929414,0.09877077492622106,0.09838080293597867
Cl Kron 21,MC0114,10.350833,-72.89083,140.0,13.487011041809517,13.077740204881264,12.994056293290242,12.551837130990492,12.429273194701079,12.009109243197965,11.8857704662316,11.45484139085701,11.430377885893721,11.211125774345984,11.188604084766444,11.128826483091924,0.13487011041809516,0.13077740204881264,0.12994056293290243,0.12551837130990492,0.12429273194701079,0.12009109243197966,0.118857704662316,0.11454841390857011,0.11430377885893721,0.11211125774345984,0.11188604084766444,0.11128826483091925
Cl Lindsay 14,MC0093,8.170833,-72.58056,70.0,15.996314833007123,15.613246674366344,15.541324545467617,14.943698451061973,14.901827613137364,14.516194640260542,14.370755687792354,13.931434173821703,13.852608019231454,13.704951523340307,13.647218696191146,13.633477690057386,0.15996314833007122,0.15613246674366343,0.15541324545467616,0.14943698451061974,0.14901827613137364,0.14516194640260544,0.14370755687792355,0.13931434173821702,0.13852608019231455,0.13704951523340309,0.13647218696191146,0.13633477690057386
OGLE-CL SMC  325,MC0113,5.36375,-73.748055,119.99999999999999,15.113223926717593,14.567976122601872,14.486855153923225,13.926420301375504,13.85298759431714,13.404506223754764,13.24807217906311,12.790213431431038,12.69007964729683,12.494226249249248,12.400233807740404,12.409699379370764,0.15113223926717592,0.14567976122601872,0.14486855153923225,0.13926420301375506,0.1385298759431714,0.13404506223754764,0.1324807217906311,0.12790213431431038,0.1269007964729683,0.12494226249249249,0.12400233807740405,0.12409699379370764
Bruck 113,MC0115,15.7275,-73.337776,35.0,16.650925361770554,16.30857768340073,15.987533692541774,15.516811649409732,15.474796597935308,15.028381963633061,14.963173790056306,14.5537438861235,14.53111449092686,14.369593247290627,14.372498827329785,14.313138375583161,0.16650925361770555,0.16308577683400732,0.15987533692541775,0.1551681164940973,0.15474796597935309,0.1502838196363306,0.14963173790056306,0.14553743886123502,0.1453111449092686,0.14369593247290627,0.14372498827329785,0.14313138375583162
HW52,MC0115,16.7375,-73.23583,29.999999999999996,nan,nan,22.37702356010939,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2237702356010939,nan,nan,nan,nan,nan,nan,nan,nan,nan
HW52,MC0116,16.7375,-73.23583,29.999999999999996,14.98307908844013,14.65375732129499,14.423897674313608,14.298937492097249,14.324598090341262,14.306418123024532,14.286009862698892,14.241122285153498,14.248689944432229,14.240912833277802,14.26481859294688,14.252455947566576,0.1498307908844013,0.14653757321294988,0.14423897674313607,0.1429893749209725,0.14324598090341262,0.1430641812302453,0.14286009862698892,0.14241122285153499,0.1424868994443223,0.14240912833277802,0.1426481859294688,0.14252455947566575
Cl Kron 38,MC0115,14.45625,-73.42306,119.99999999999999,13.934446311611183,13.304295437357755,13.240077396358622,12.857612036186977,12.779848414309217,12.290603382637736,12.200928534257375,11.752620765496133,11.68304998689324,11.523908877225615,11.461061288873733,11.44253722128135,0.13934446311611182,0.13304295437357755,0.1324007739635862,0.12857612036186977,0.12779848414309217,0.12290603382637735,0.12200928534257376,0.11752620765496133,0.1168304998689324,0.11523908877225615,0.11461061288873733,0.1144253722128135
Cl Kron 61,MC0116,17.262917,-73.08667,55.00000000000001,14.343051700367983,14.155628068201793,14.097519566324603,13.842304853087885,13.80972868539943,13.643962603901846,13.564047660893864,13.352911160551885,13.319604031868343,13.24968067531063,13.231529890002914,13.237250715360284,0.14343051700367984,0.14155628068201792,0.14097519566324604,0.13842304853087886,0.1380972868539943,0.13643962603901846,0.13564047660893866,0.13352911160551886,0.13319604031868343,0.1324968067531063,0.13231529890002913,0.13237250715360285
