object,field,RA,DEC,radius_aper(pixel),uJava,F378,F395,F410,F430,gSDSS,F515,rSDSS,F660,iSDSS,F861,zSDSS,e_uJava,e_F378,e_F395,e_F410,e_F430,e_gSDSS,e_F515,e_rSDSS,e_F660,e_iSDSS,e_F861,e_zSDSS,flag_u,flag_r
NGC294,MC0115,13.275,-73.38028,95,12.4799853505652,12.0127803051946,11.8221037992456,11.5400492342531,11.5260726450547,11.3778408970921,11.3293477964421,11.1947826717586,11.1815405259682,11.1373322260514,11.1220585772662,11.0910651677669,0.124799853505652,0.120127803051946,0.118221037992456,0.115400492342531,0.115260726450547,0.113778408970921,0.113293477964421,0.111947826717586,0.111815405259682,0.111373322260514,0.111220585772662,0.110910651677669,0,0
NGC361,MC0072,15.545833,-71.605835,145,12.925560176953,12.6021754322769,12.6004784034156,12.0093126315558,11.9108865189601,11.5248290737375,11.3693821707317,10.974235965831,10.9226749763397,10.7599452116063,10.6968368032074,10.6604664105003,0.12925560176953,0.126021754322769,0.126004784034156,0.120093126315558,0.119108865189601,0.115248290737375,0.113693821707317,0.10974235965831,0.109226749763397,0.107599452116063,0.106968368032074,0.106604664105003,0,0
OGLE-CL SMC  320,MC0093,7.760833,-72.34055,30,16.3718524952568,16.0533934715317,16.0887204644802,15.496435422355,15.386643818411,15.018484075336,14.8555032454034,14.4330711634861,14.3025604002129,14.0423789066712,13.8899192681171,13.8201901855702,0.163718524952568,0.160533934715316,0.160887204644802,0.15496435422355,0.15386643818411,0.15018484075336,0.148555032454034,0.144330711634861,0.143025604002129,0.140423789066712,0.138899192681171,0.138201901855702,0,0
Cl Kron 28,MC0094,12.92375,-71.99834,95,11.196966287324,10.7630227118359,10.3935815880623,10.126180018546,10.1484054973117,10.4108682096473,10.1621586756298,10.3893158959942,10.3679278618261,10.37142171786,10.2085271932151,10.2807967089188,0.11196966287324,0.107630227118359,0.103935815880623,0.10126180018546,0.101484054973117,0.104108682096473,0.101621586756298,0.103893158959942,0.103679278618261,0.1037142171786,0.102085271932151,0.102807967089188,1,1
OGLE-CL SMC  317,MC0113,6.22625,-73.030556,50,17.2429741433266,16.7143460500861,16.734199794668,16.3110428991823,16.1400003024425,15.6351308642919,15.5566529867894,15.0914256183863,15.0391193630773,14.8942696455007,14.8961361177053,14.8919896590826,0.172429741433266,0.167143460500861,0.16734199794668,0.163110428991823,0.161400003024425,0.156351308642919,0.155566529867894,0.150914256183863,0.150391193630773,0.148942696455007,0.148961361177053,0.148919896590826,1,1
OGLE-CL SMC  311,MC0070,6.702083,-71.53472,210,12.1522096848644,11.7800201318378,11.7078476140175,11.2200770683174,11.083140677405,10.7412405395416,10.5361494304235,10.0863956625731,10.010784916421,9.87483102929414,9.75888949262211,9.72849509359787,0.121522096848644,0.117800201318378,0.117078476140175,0.112200770683174,0.11083140677405,0.107412405395416,0.105361494304235,0.100863956625731,0.10010784916421,0.098748310292941,0.097588894926221,0.097284950935979,0,0
Cl Kron 21,MC0114,10.350833,-72.89083,140,13.0627602418095,12.6775671048813,12.6085541932902,12.1816964309905,12.0762198947011,11.695926543198,11.5988229662316,11.236761290857,11.2304207858937,11.053628274346,11.0617430847664,11.0111995830919,0.130627602418095,0.126775671048813,0.126085541932902,0.121816964309905,0.120762198947011,0.11695926543198,0.115988229662316,0.11236761290857,0.112304207858937,0.11053628274346,0.110617430847664,0.110111995830919,0,0
Cl Lindsay 14,MC0093,8.170833,-72.58056,70,15.6123752330071,15.2510969743663,15.1924518454676,14.608727551062,14.5823205131374,14.2327697402605,14.1110731877924,13.7340754738217,13.6716503192315,13.5624190233403,13.5324116961911,13.5270273900574,0.156123752330071,0.152510969743663,0.151924518454676,0.14608727551062,0.145823205131374,0.142327697402605,0.141110731877924,0.137340754738217,0.136716503192315,0.135624190233403,0.135324116961911,0.135270273900574,2,0
OGLE-CL SMC  325,MC0113,5.36375,-73.748055,120,14.7912259267176,14.2642526226019,14.1942666539232,13.6454908013755,13.5850270943171,13.1668067237548,13.0302846790631,12.624694931431,12.5383161472968,12.3746887492492,12.3039488077404,12.3204228793708,0.147912259267176,0.142642526226019,0.141942666539232,0.136454908013755,0.135850270943171,0.131668067237548,0.130302846790631,0.12624694931431,0.125383161472968,0.123746887492492,0.123039488077404,0.123204228793708,0,0
Bruck 113,MC0115,15.7275,-73.337776,35,16.1755481617706,15.8601797834007,15.5555747925418,15.1020653494097,15.0791968979353,14.6774576636331,14.6416462900563,14.3093829861235,14.3070605909269,14.1931157472906,14.2303498273298,14.1813362755832,0.161755481617706,0.158601797834007,0.155555747925418,0.151020653494097,0.150791968979353,0.146774576636331,0.146416462900563,0.143093829861235,0.143070605909269,0.141931157472906,0.142303498273298,0.141813362755832,2,0
HW52,MC0115,16.7375,-73.23583,30,99,99,21.9959884601094,99,99,99,99,99,99,99,99,99,99,99,0.219959884601094,99,99,99,99,99,99,99,99,99,3,3
HW52,MC0116,16.7375,-73.23583,30,14.5637442884401,14.258221221295,14.0428625743136,13.9330857920972,13.9756357903413,13.9968644230245,14.0023873626989,14.0255691851535,14.0510498444322,14.0852403332778,14.1394275929469,14.1361920475666,0.145637442884401,0.14258221221295,0.140428625743136,0.139330857920972,0.139756357903413,0.139968644230245,0.140023873626989,0.140255691851535,0.140510498444322,0.140852403332778,0.141394275929469,0.141361920475666,0,0
Cl Kron 38,MC0115,14.45625,-73.42306,120,13.5775447116112,12.9676492373578,12.9157731963586,12.546230636187,12.4828418143092,12.0271379826377,11.9595335342574,11.5691605654961,11.5148357868932,11.3914138772256,11.3543392888737,11.3435834212814,0.135775447116112,0.129676492373578,0.129157731963586,0.12546230636187,0.124828418143092,0.120271379826377,0.119595335342574,0.115691605654961,0.115148357868932,0.113914138772256,0.113543392888737,0.113435834212814,2,0
Cl Kron 61,MC0116,17.262917,-73.08667,55,13.890288100368,13.7285603682018,13.6861088663246,13.4472879530879,13.4329475853994,13.3097317039018,13.2578151608939,13.1201744605519,13.1062083318683,13.0815981753106,13.0961428900029,13.1117184153603,0.13890288100368,0.137285603682018,0.136861088663246,0.134472879530879,0.134329475853994,0.133097317039018,0.132578151608939,0.131201744605519,0.131062083318683,0.130815981753106,0.130961428900029,0.131117184153603,0,0
Cl Kron 63,MC0095,17.696667,-72.793335,50,14.3625145876145,13.9060439731547,13.5514456770141,13.3767554327132,13.3950349188081,13.3298358326441,13.2826676681307,13.2761680734394,13.3854045437095,13.2694693417004,13.3394854203559,13.2985838159531,0.143625145876145,0.139060439731547,0.135514456770141,0.133767554327132,0.133950349188081,0.133298358326441,0.132826676681307,0.132761680734394,0.133854045437095,0.132694693417004,0.133394854203559,0.132985838159531,0,0
Cl Kron 63,MC0116,17.696667,-72.793335,50,14.3353239218587,13.855629510483,13.6010093151035,13.3714484291682,13.3530646709623,13.3209159258018,13.2783224991217,13.2532695915337,13.3598618951818,13.2940501933337,13.3584022462135,13.333752997232,0.143353239218587,0.13855629510483,0.136010093151035,0.133714484291682,0.133530646709623,0.133209159258018,0.132783224991217,0.132532695915337,0.133598618951818,0.132940501933338,0.133584022462135,0.133337529972319,0,0
Cl Lindsay 100,MC0095,19.570417,-72.00166,55,15.464280947479,14.9643555865147,15.0236670448201,14.4864564416406,14.4105551550139,14.1497259697373,13.9917737233649,13.735570568729,13.6983764954771,13.5877446134756,13.5506678721373,13.5571880447741,0.15464280947479,0.149643555865147,0.150236670448201,0.144864564416406,0.144105551550139,0.141497259697373,0.139917737233649,0.13735570568729,0.136983764954771,0.135877446134756,0.135506678721373,0.135571880447741,0,0
Cl Lindsay 91,MC0116,18.215,-73.118614,70,14.5024849952221,14.1869079575856,14.1617023313604,13.8172746386771,13.7228624230857,13.4351488421045,13.3347711889717,13.0200202913021,12.9673358285899,12.8548052214787,12.8404759684605,12.8087206236418,0.145024849952221,0.141869079575856,0.141617023313604,0.138172746386771,0.137228624230857,0.134351488421045,0.133347711889717,0.130200202913021,0.129673358285899,0.128548052214787,0.128404759684605,0.128087206236418,1,0
OGLE-CL SMC  319,MC0092,6.191667,-72.79389,190,11.724201545455,11.414196572205,11.3280655245017,10.7916810925094,10.70034108072,10.448755821905,10.1764540152772,9.98643673091834,9.88517200310574,9.82399464959517,9.69153230965859,9.70942254555173,0.11724201545455,0.11414196572205,0.113280655245017,0.107916810925094,0.1070034108072,0.10448755821905,0.101764540152772,0.099864367309183,0.098851720031057,0.098239946495952,0.096915323096586,0.097094225455517,1,1
