ID,Nvis,Loc,RAJ2000,DEJ2000,SNR,SaFlag,HRV,e_HRV,s_HRV,errHRV,f_Teff,Teff,e_Teff,f_logg,logg,e_logg,f_Vmicro,Vmicro,Vmacro,f_Vsini,Vsini,f_[M/H],[M/H],e_[M/H],f_[a/M],[a/M],e_[a/M],Chi2,TClass,AFlag,f_[C/Fe],[C/Fe],e_[C/Fe],f_[CI/Fe],[CI/Fe],e_[CI/Fe],f_[N/Fe],[N/Fe],e_[N/Fe],f_[O/Fe],[O/Fe],e_[O/Fe],f_[Na/Fe],[Na/Fe],e_[Na/Fe],f_[Mg/Fe],[Mg/Fe],e_[Mg/Fe],f_[Al/Fe],[Al/Fe],e_[Al/Fe],f_[Si/Fe],[Si/Fe],e_[Si/Fe],f_[P/Fe],[P/Fe],e_[P/Fe],f_[S/Fe],[S/Fe],e_[S/Fe],f_[K/Fe],[K/Fe],e_[K/Fe],f_[Ca/Fe],[Ca/Fe],e_[Ca/Fe],f_[Ti/Fe],[Ti/Fe],e_[Ti/Fe],f_[TiII/Fe],[TiII/Fe],e_[TiII/Fe],f_[V/Fe],[V/Fe],e_[V/Fe],f_[Cr/Fe],[Cr/Fe],e_[Cr/Fe],f_[Mn/Fe],[Mn/Fe],e_[Mn/Fe],f_[Fe/H],[Fe/H],e_[Fe/H],f_[Co/Fe],[Co/Fe],e_[Co/Fe],f_[Ni/Fe],[Ni/Fe],e_[Ni/Fe],f_[Cu/Fe],[Cu/Fe],e_[Cu/Fe],f_[Ce/Fe],[Ce/Fe],e_[Ce/Fe],Gaia,pmRA,pmDE,GAL_LON,GAL_LAT,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra_x,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
2M00162637-7749577,11,5497,4.109889,-77.832718,88.2107,0,209.649994,0.07632,0.731404,0.257412,512,4379.058,112.963,33554944,0.9594,0.083,0,1.983536,8.594638,65536,,0,-1.823362,0.0242012,0,0.002485,0.026315,2.67128,GKg_b,0,0,-0.72273,0.062835,0,0.46614,0.087933,0,-0.25142,0.081339,0,0.028165,0.047121,257,,,0,0.026524,0.039509,0,-0.750372,0.043183,0,-0.005965,0.033597,16384,,,0,-0.145874,0.18741,0,-0.14731,0.165597,0,-0.197882,0.101165,0,-0.544379,0.089912,256,,,0,0.681463,0.196321,0,0.768398,0.184052,0,-0.473296,0.112249,0,-1.760262,0.026615,0,0.178072,0.174959,0,0.047432,0.07407,256,,,131072,,,4635744707233407104,0.647,-1.424,305.3008232938578,-39.13410395089191,4.10983518339,-77.83273048027,8.825E-4,6.149E-4,81.74,4635744707233407104,4.1098495272,0.0332,-77.83273716772,0.0287,0.0077,0.0321,0.2393,1.651,0.68,0.054,-1.505,0.039,326,0.0552,334.1,0.0,0.0,31,,,24,1.001,false,7027.04,3.403,16.070436,2635.98,12.4715,16.786184,6279.07,15.253157,1.269,1.533028,,,0,,,,,491316254,,0.002805,0.005846,0.004006,16.070436,0.002805,7027.04,-0.005,0.8778,0.6216,0.1044,0.060713
2M00241473-7726301,11,5497,6.061401,-77.441704,81.4967,4,168.832001,0.048927,0.834244,0.163141,512,4204.701,102.409,33554944,1.1573,0.0687,0,1.904452,6.234519,65536,,0,-1.274662,0.0193778,0,-0.037352,0.01907,1.30548,GKg_b,0,0,-0.4931,0.031771,0,-0.97695,0.052752,0,0.080984,0.047611,0,-0.024336,0.029696,0,0.122546,0.121611,0,0.163012,0.030565,0,-0.363172,0.041544,0,-0.099976,0.026242,0,0.090987,0.139009,0,0.635064,0.122243,0,0.30149,0.116246,0,0.151638,0.057979,512,,,0,-0.518135,0.117196,0,0.351963,0.125251,0,-0.971402,0.117638,0,-0.233496,0.068251,0,-1.260761,0.021779,0,-0.296028,0.108035,0,-0.158968,0.050311,0,0.495937,0.116723,131072,,,4635848168701489152,0.517,-1.391,304.84574194442655,-39.58532886827424,6.0614203037,-77.44170903409,6.5E-4,5.74E-4,98.05,4635848168701489152,6.06143378259,0.0294,-77.4417150905,0.0281,-0.0053,0.0316,-0.1683,1.514,0.659,0.04,-1.363,0.036,412,-0.1086,419.82,0.0,0.0,31,,,29,0.995,false,5809.36,3.37147,16.277046,2078.25,10.3317,17.0443,5328.52,15.431379,1.275,1.612921,,,0,,,,,,,0.002826,0.006076,0.004721,16.277046,0.002826,5809.36,-0.009,0.6486,0.5756,-0.0345,0.023596
2M00331329-7722212,11,5497,8.305379,-77.372574,98.9792,0,145.487,0.023815,0.265032,0.082712,512,4034.526,92.001,33554944,0.5076,0.0648,0,2.178663,5.800254,65536,,0,-1.151262,0.0178156,0,-0.01905,0.016804,1.71712,"Mg_a ",0,0,-0.53493,0.022372,0,-0.4884,0.039211,0,0.043103,0.036773,0,-0.007371,0.022333,0,-0.140054,0.095772,0,0.058582,0.027047,0,-0.455672,0.038513,0,0.009963,0.022934,0,0.369147,0.106635,0,0.700964,0.100159,512,,,0,0.119148,0.045614,512,,,512,,,256,,,0,-0.125102,0.092706,512,,,0,-1.125661,0.020528,0,-0.098028,0.080356,0,-0.041568,0.042922,512,,,131584,,,4635862732934729344,0.816,-1.526,304.22481940586437,-39.70991353138704,8.30537427975,-77.37256723359,6.444E-4,5.851E-4,57.03,4635862732934729344,8.30539223055,0.0284,-77.37257401838,0.0298,-0.0054,0.0317,-0.1712,1.764,0.883,0.039,-1.527,0.038,302,-0.281,299.3,0.0,0.0,31,,,27,0.987,false,8202.09,7.94517,15.902556,2714.8,18.4495,16.754196,7933.73,14.999202,1.298,1.754994,,,0,,,,,491335475,,0.002949,0.007888,0.005101,15.902556,0.002949,8202.09,-0.004,0.6274,0.6033,0.0879,0.024641
2M01040705-7620511,8,5500,16.029408,-76.347534,67.7876,0,147.279007,0.047201,1.43234,0.143547,512,4290.258,106.586,33554432,1.2919,0.0659,0,2.182831,5.592309,65536,,0,-1.088862,0.0183393,0,-0.011388,0.017824,1.52676,GKg_a,0,0,-0.43132,0.03078,0,-0.36484,0.051616,0,0.12238,0.045005,0,0.001157,0.029981,0,0.032646,0.116286,0,-0.009431,0.029255,0,-0.508072,0.042708,0,0.001837,0.025588,0,0.353247,0.140422,0,0.632224,0.113664,0,-1.14651,0.111111,0,0.024536,0.052455,512,,,0,0.174055,0.123424,0,-0.390137,0.127804,0,-0.918102,0.112382,0,-0.187196,0.061774,0,-1.084962,0.020407,0,-0.188328,0.107405,0,-0.178168,0.04636,0,-0.208292,0.11129,131072,,,4636343120733156608,0.729,-1.299,301.94463986113004,-40.75640246956908,16.02935859014,-76.34751932782,8.83E-4,6.473E-4,91.26,4636343120733156608,16.02937358218,0.0428,-76.34752548975,0.0319,0.0319,0.0363,0.8779,1.599,0.796,0.054,-1.386,0.04,344,0.8853,377.31,0.087,0.5307,31,,,27,1.033,false,5244.71,2.82806,16.388063,1941.75,11.5885,17.118057,4712.85,15.564686,1.269,1.553371,,,0,,,,,491386982,,0.002817,0.007055,0.005239,16.388063,0.002817,5244.71,-0.008,0.8829,0.6474,-0.0138,0.067473
2M01055965-7619052,8,5500,16.498546,-76.318115,76.7555,0,182.451004,0.037975,0.297231,0.111212,512,4167.78,104.371,33554944,0.8777,0.0713,0,2.503399,6.944381,65536,,0,-1.458962,0.0220193,0,0.002488,0.021762,1.86247,GKg_a,0,0,-0.5621,0.03727,0,-0.46358,0.060687,0,0.24431,0.055548,0,0.006948,0.033455,0,-0.458754,0.140563,0,0.048322,0.034623,0,-0.505371,0.044805,0,0.031119,0.029385,0,1.526097,0.155137,0,0.446274,0.14507,0,0.22469,0.135531,0,0.077481,0.071543,512,,,0,0.557655,0.124808,0,0.101363,0.141132,0,-0.567202,0.138172,0,-0.354596,0.083529,0,-1.447362,0.024767,0,0.072672,0.124231,0,-0.054968,0.059999,0,0.609708,0.137207,131072,,,4636343842287581056,0.98,-1.244,301.79592621708275,-40.77801404262832,16.498585631,-76.31809462415,7.671E-4,6.71E-4,84.11,4636343842287581056,16.49860289417,0.0384,-76.31810013702,0.0334,0.0262,0.038,0.6885,1.544,0.919,0.047,-1.24,0.042,309,0.5112,329.18,0.0,0.0,31,,,26,1.02,false,5640.72,4.28927,16.30903,2034.0,19.5583,17.067665,5221.37,15.453434,1.286,1.614231,,,0,,,,,491387114,,0.002876,0.010807,0.004952,16.30903,0.002876,5640.72,0.002,0.7661,0.6721,0.0274,0.080743
2M01065852-7614292,8,5500,16.743857,-76.24147,67.6174,0,132.781006,0.056178,0.340125,0.154248,512,4353.468,110.703,33554944,1.1676,0.0706,0,2.173502,6.291683,65536,,0,-1.290262,0.0200223,0,-0.063068,0.020146,1.35513,GKg_a,0,0,-0.57833,0.039035,0,-0.40535,0.062457,0,0.09589,0.054986,0,-1.79E-4,0.035692,0,-1.020854,0.137954,0,-0.126638,0.032314,0,-0.931872,0.043644,0,-0.034251,0.028167,0,-0.861013,0.163627,0,0.448794,0.13362,0,0.09889,0.127227,0,-0.079863,0.064726,0,-0.357869,0.064521,0,0.269145,0.131638,0,-0.888037,0.151314,0,0.088998,0.133115,0,-0.367596,0.074613,0,-1.262861,0.022104,0,0.103072,0.128785,0,-0.291768,0.053777,0,0.035007,0.133535,131072,,,4636344666921298816,1.097,-1.461,301.7114655491885,-40.84994154391553,16.74388478461,-76.24150181729,7.058E-4,6.623E-4,100.65,4636344666921298816,16.74390670233,0.038,-76.24150849768,0.0351,-0.0188,0.0401,-0.4684,1.907,1.173,0.043,-1.503,0.041,321,-1.1199,300.22,0.0,0.0,31,,,27,0.955,false,5491.29,2.81713,16.338182,2081.01,12.6738,17.042854,4859.41,15.531436,1.264,1.511418,,,0,,,,,491398572,,0.002811,0.007177,0.004614,16.338182,0.002811,5491.29,-0.008,0.7043,0.6638,-0.0231,0.116986
2M01080330-7621509,8,5500,17.013759,-76.364143,245.08,0,131.854996,0.004736,1.21777,0.014136,512,3661.027,67.396,33554944,0.0013,0.0634,0,2.976802,5.816226,65536,,0,-1.155962,0.0152811,0,0.057122,0.013585,7.74801,"Mg_c ",0,0,-0.17236,0.010755,0,-0.2087,0.019903,0,0.06599,0.022763,0,-0.031962,0.011933,512,,,0,0.038407,0.02053,0,-0.407971,0.028483,0,-0.03567,0.016653,0,-0.015513,0.056272,0,0.232424,0.065169,512,,,0,0.123458,0.029099,512,,,512,,,0,-0.093437,0.042036,0,-0.024002,0.053963,512,,,0,-1.104062,0.018928,0,-0.074928,0.040052,0,-0.060868,0.03174,512,,,131584,,,4636351465852734592,0.978,-1.582,301.6406922428456,-40.72242048478292,17.01386045101,-76.36414815643,3.823E-4,3.126E-4,116.01,4636351465852734592,17.01388089365,0.0184,-76.36415520328,0.0163,-0.0142,0.0185,-0.768,1.921,1.084,0.023,-1.586,0.02,317,1.7743,351.21,0.051,0.7878,31,,,26,1.071,false,24663.6,121.041,14.707228,5235.98,135.177,16.041048,29460.0,13.574813,1.407,2.466235,,,0,,,,,491388119,,0.005999,0.028169,0.013575,14.707228,0.005999,24663.6,0.005,0.3699,0.3272,-0.1576,0.08808
2M01071575-7614217,8,5500,16.815656,-76.239372,81.663,0,171.873001,0.02487,0.178462,0.068944,512,4064.679,95.933,33554944,0.9156,0.0629,0,2.171951,5.51788,65536,,0,-1.065962,0.0181885,0,0.036861,0.016877,1.96128,"Mg_a ",0,0,-0.34026,0.023047,0,-0.37894,0.040767,0,0.12232,0.037162,0,0.035414,0.0235,0,-0.152154,0.098257,0,0.099252,0.027817,0,-0.468372,0.041588,0,0.025725,0.0238,0,0.504677,0.112518,0,0.254894,0.102436,0,0.29629,0.100325,0,-0.00691,0.046153,512,,,512,,,0,-0.278737,0.098399,0,-0.003502,0.096231,512,,,0,-1.053962,0.020809,0,-0.164328,0.084842,0,-0.098168,0.043714,512,,,131584,,,4636367928464135424,1.055,-1.11,301.68873919839024,-40.850659036848,16.81579003808,-76.23935600087,6.606E-4,6.288E-4,110.96,4636367928464135424,16.81581048672,0.0344,-76.23936141179,0.033,0.0051,0.0369,0.1383,1.637,1.094,0.04,-1.217,0.039,356,0.3386,374.19,0.0,0.0,31,,,27,1.012,false,5633.09,4.585,16.310501,1899.11,12.6214,17.142166,5357.22,15.425547,1.288,1.71662,,,0,,,,,491398581,,0.002894,0.007736,0.004634,16.310501,0.002894,5633.09,-0.009,0.6566,0.633,-0.0329,0.12842
2M01084424-7608484,8,5500,17.18434,-76.146805,85.5735,4,164.153,0.029852,0.19408,0.088605,512,4026.234,97.12,33554944,0.6194,0.0675,0,2.479762,6.534421,65536,,0,-1.354962,0.021266,0,-0.068871,0.020109,1.45154,"Mg_c ",0,0,-0.65723,0.028746,0,-0.73369,0.048983,0,0.15098,0.04609,0,-0.083138,0.027398,0,-0.301954,0.118859,0,-0.086592,0.032362,0,-0.722071,0.044088,0,-0.097494,0.027212,0,0.007287,0.128824,0,-0.519906,0.127555,512,,,0,0.058446,0.061043,512,,,512,,,256,,,0,-0.021402,0.117924,512,,,0,-1.335962,0.024385,0,-0.309928,0.101087,0,-0.167968,0.054737,512,,,131840,,,4636368851880799872,0.529,-1.169,301.5623562073209,-40.93541081722283,17.18445842563,-76.14675140705,6.931E-4,6.114E-4,56.99,4636368851880799872,17.18446858301,0.0332,-76.14675665527,0.0307,0.0266,0.0348,0.7639,1.301,0.547,0.041,-1.181,0.04,364,0.9966,401.47,0.0,0.0,31,,,28,1.036,false,5736.54,14.2311,16.290741,1953.22,19.6505,17.111666,6018.4,15.299192,1.39,1.812473,,,0,,,,,491398763,,0.003853,0.011274,0.007718,16.290741,0.003853,5736.54,0.08,0.6699,0.6367,0.1143,0.218275
2M01072774-7609488,8,5500,16.865619,-76.163582,70.2234,0,167.714005,0.043681,0.378536,0.124478,512,4252.517,106.13,33554944,1.0059,0.0679,0,1.997975,6.050878,65536,,0,-1.223562,0.0195793,0,-0.060619,0.019182,1.57406,GKg_a,0,0,-0.6236,0.033291,0,-0.6091,0.055166,0,0.018709,0.048838,0,-0.054306,0.031413,0,-0.160054,0.125238,0,-0.037044,0.03113,0,-0.644071,0.043456,0,-0.111112,0.02695,0,1.473164,0.146611,0,-0.578166,0.124575,0,0.16509,0.119789,0,0.034743,0.058904,512,,,0,0.046825,0.124532,0,0.033363,0.133639,0,0.038698,0.121707,0,-0.369896,0.069067,0,-1.194562,0.02185,0,-0.517928,0.114066,0,-0.201068,0.050955,0,0.033108,0.120714,131072,,,4636369371573140224,0.809,-1.083,301.6648349551845,-40.92522144693967,16.8657067038,-76.16358828677,7.961E-4,6.603E-4,99.25,4636369371573140224,16.86572258651,0.0406,-76.16359302543,0.0336,0.0183,0.0382,0.48,1.366,0.855,0.048,-1.066,0.041,329,1.5717,380.23,0.109,0.8854,31,,,27,1.061,false,5542.24,3.24535,16.328154,2030.3,12.7995,17.069641,5028.66,15.494264,1.274,1.575378,,,0,,,,,491398673,,0.002828,0.007392,0.004709,16.328154,0.002828,5542.24,-0.006,0.7929,0.6642,-0.0595,0.078827
