object,RA,DEC,logAge,age,FeH,Z,E(B-V),field,CTYPE,a,b,flag_u,flag_r,r_logAge,r__M_H_
NGC294,13.275,-73.38028,8.52,331131121.482591,-2.18,1.25531755121E-4,0.0904,MC0115,C,1.7,1.7,0.0,0.0,GGK10.CVH+06.PU99,PPV17
NGC361,15.545833,-71.605835,9.91,8128305161.641,-1.45,6.74145439544E-4,0.0813,MC0072,C,2.6,2.6,0.0,0.0,RGB+07,MSF98
OGLE-CL SMC  320,7.760833,-72.34055,9.63,4265795188.01593,-1.28,9.97134174475E-4,0.0543,MC0093,C,0.55,0.55,0.0,0.0,DKB+16,DKB+16
Cl Kron 28,12.92375,-71.99834,9.3,1995262314.96888,-1.2,0.001198818954512,0.0815,MC0094,C,1.7,1.7,1.0,1.0,PGC+14,PSC+01
OGLE-CL SMC  317,6.22625,-73.030556,9.58,3801893963.20561,-1.19,0.001226743035166,0.0687,MC0113,C,0.85,0.85,1.0,1.0,DKB+16,DKB+16
OGLE-CL SMC  311,6.702083,-71.53472,10.02,10471285480.509,-1.19,0.001226743035166,0.0804,MC0070,C,3.8,3.1,0.0,0.0,GGG+08.DKB+16,DH98
Cl Kron 21,10.350833,-72.89083,9.66,4570881896.14875,-1.14,0.001376428324142,0.0863,MC0114,C,2.5,2.5,0.0,0.0,PGC+14,PGG+09
Cl Lindsay 14,8.170833,-72.58056,9.45,2818382931.26445,-1.14,0.001376428324142,0.0781,MC0093,C,1.2,1.2,2.0,0.0,GGK10.DKB+16,DKB+16
OGLE-CL SMC  325,5.36375,-73.748055,9.71,5128613839.91366,-1.08,0.001580351165095,0.0655,MC0113,C,2.2,2.2,0.0,0.0,PGC+14.DKB+16,PGG+09
Bruck 113,15.7275,-73.337776,8.75,562341325.190349,-1.01,0.001856750719816,0.0967,MC0115,C,0.6,0.6,2.0,0.0,GGK10,PGC+16
HW52,16.7375,-73.23583,8.15,141253754.462276,-0.88,0.002504687803257,0.0853,MC0115,C,0.5,0.5,3.0,3.0,GGK10.MPS14,PPV17
HW52,16.7375,-73.23583,8.15,141253754.462276,-0.88,0.002504687803257,0.0853,MC0116,C,0.5,0.5,0.0,0.0,GGK10.MPS14,PPV17
Cl Kron 38,14.45625,-73.42306,9.48,3019951720.40202,-0.88,0.002504687803257,0.0726,MC0115,C,2.2,2.2,2.0,0.0,PGC+14,PPV17
