object,RA,DEC,logAge,age,FeH,Z,E(B-V),field,CTYPE,a,b,flag_u,flag_r,r_logAge,r__M_H_
NGC294,13275,-73.38028,8.52,3.311311214825908E8,-2.18,1.255317551214432E-4,0.0904,MC0115,C,1.7,1.7,0,0,"GGK10,CVH+06,PU99      ",PPV17 
NGC361,15.545833,-71.605835,9.91,8.128305161640995E9,-1.45,6.741454395437934E-4,0.0813,MC0072,C,2.6,2.6,0,0,RGB+07                 ,MSF98 
OGLE-CL SMC  320,7.760833,-72.34055,9.63,4.2657951880159345E9,-1.28,9.971341744745678E-4,0.0543,MC0093,C,0.55,0.55,0,0,DKB+16                 ,DKB+16
Cl Kron 28,12.92375,-71.99834,9.3,1.9952623149688828E9,-1.2,0.0011988189545123673,0.0815,MC0094,C,1.7,1.7,1,1,PGC+14                 ,PSC+01
OGLE-CL SMC  317,6.22625,-73.030556,9.58,3.8018939632056127E9,-1.19,0.0012267430351658457,0.0687,MC0113,C,0.85,0.85,1,1,DKB+16                 ,DKB+16
OGLE-CL SMC  311,6.702083,-71.53472,10.02,1.0471285480508986E10,-1.19,0.0012267430351658457,0.0804,MC0070,C,3.8,3.1,0,0,"GGG+08,DKB+16          ",DH98  
Cl Kron 21,10.350833,-72.89083,9.66,4.570881896148752E9,-1.14,0.0013764283241424816,0.0863,MC0114,C,2.5,2.5,0,0,PGC+14                 ,PGG+09
Cl Lindsay 14,8.170833,-72.58056,9.45,2.818382931264449E9,-1.14,0.0013764283241424816,0.0781,MC0093,C,1.2,1.2,2,0,"GGK10,DKB+16           ",DKB+16
OGLE-CL SMC  325,5.36375,-73.748055,9.71,5.128613839913659E9,-1.08,0.0015803511650950746,0.0655,MC0113,C,2.2,2.2,0,0,"PGC+14,DKB+16          ",PGG+09
Bruck 113,15.7275,-73.337776,8.75,5.623413251903491E8,-1.01,0.0018567507198160402,0.0967,MC0115,C,0.6,0.6,2,0,GGK10                  ,PGC+16
HW52,16.7375,-73.23583,8.15,1.4125375446227553E8,-0.88,0.0025046878032571732,0.0853,MC0115,C,0.5,0.5,3,3,"GGK10,MPS14            ",PPV17 
HW52,16.7375,-73.23583,8.15,1.4125375446227553E8,-0.88,0.0025046878032571732,0.0853,MC0116,C,0.5,0.5,0,0,"GGK10,MPS14            ",PPV17 
Cl Kron 38,14.45625,-73.42306,9.48,3.019951720402019E9,-0.88,0.0025046878032571732,0.0726,MC0115,C,2.2,2.2,2,0,PGC+14                 ,PPV17 
Cl Kron 61,17.262917,-73.08667,8.13,1.348962882591656E8,-0.88,0.0025046878032571732,0.0921,MC0116,C,0.95,0.95,0,0,"GGK10,CVH+06,MPS14     ",PPV17 
Cl Kron 63,17.696667,-72.793335,8.3,1.9952623149688828E8,-0.88,0.0025046878032571732,0.0918,MC0095,C,0.9,0.9,0,0,GGK10                  ,PPV17 
Cl Kron 63,17.696667,-72.793335,8.3,1.9952623149688828E8,-0.88,0.0025046878032571732,0.0918,MC0116,C,0.9,0.9,0,0,GGK10                  ,PPV17 
Cl Lindsay 100,19.570417,-72.00166,9.32,2.0892961308540409E9,-0.88,0.0025046878032571732,0.0792,MC0095,C,1.0,1.0,0,0,"PGC+14,PdGR+15         ",PPV17 
Cl Lindsay 91,18215,-73.118614,9.61,4.073802778041122E9,-0.88,0.0025046878032571732,0.1376,MC0116,C,1.2,1.2,1,0,"GGK10,PGC+14           ",PPV17 
OGLE-CL SMC  319,6.191667,-72.79389,9.81,6.456542290346562E9,-0.85,0.0026838213347832336,0.0693,MC0092,C,3.4,3.4,1,1,"GGS+08,DKB+16          ",PGC+15
OGLE-CL SMC  319,6.191667,-72.79389,9.81,6.456542290346562E9,-0.85,0.0026838213347832336,0.0693,MC0113,C,3.4,3.4,1,1,"GGS+08,DKB+16          ",PGC+15
Bruck 99,15.117917,-73.08611,8.23,1.698243652461746E8,-0.84,0.0027463355644172624,0.0823,MC0115,C,0.75,0.75,0,0,"CVH+06,PU99,MPS14      ",PGC+15
Cl Kron 13,8.92375,-73.5975,9.64,4.365158322401666E9,-0.84,0.0027463355644172624,0.0725,MC0114,C,1.9,1.9,1,1,"GGK10,PGC+14           ",PGG+09
NGC411,16.980417,-71.76778,9.18,1.513561248436207E9,-0.84,0.0027463355644172624,0.0737,MC0095,C,2.1,1.9,0,0,RGB+07                 ,DH98  
NGC330,14.077917,-72.46333,7.63,4.265795188015926E7,-0.82,0.0028757663720287954,0.1098,MC0094,C,2.8,2.5,0,0,"GGK10,CVH+06,PU99      ",DH98  
Cl Kron 44,15.516667,-73.925835,9.48,3.019951720402019E9,-0.81,0.002942751575933714,0.0849,MC0115,C,2.9,2.9,0,0,PGC+14                 ,PGC+15
Cl Kron 44,15.516667,-73.925835,9.48,3.019951720402019E9,-0.81,0.002942751575933714,0.0849,MC0135,C,2.9,2.9,3,3,PGC+14                 ,PGC+15
[BS95] 90,14.77,-72.153336,9.65,4.466835921509635E9,-0.8,0.0030112970656761156,0.0765,MC0094,C,1.0,1.0,1,0,RGB+07                 ,SSN+07
